timestamp,datetime,open,high,low,close,volume,source
1787049000000,2026-08-18T10:30:00.000Z,75.744,75.823,75.743,75.795,711.13752,bitstamp
1787049900000,2026-08-18T10:45:00.000Z,75.795,75.81,75.763,75.765,305.90883,bitstamp
1787050800000,2026-08-18T11:00:00.000Z,75.761,75.99,75.753,75.99,773.25485,bitstamp
1787051700000,2026-08-18T11:15:00.000Z,75.991,76.378,75.986,76.187,5294.18868,bitstamp
1787052600000,2026-08-18T11:30:00.000Z,76.172,76.36,76.161,76.278,2033.64473,bitstamp
1787053500000,2026-08-18T11:45:00.000Z,76.303,76.318,76.216,76.241,680.47273,bitstamp
1787054400000,2026-08-18T12:00:00.000Z,76.244,76.433,76.244,76.314,1846.62886,bitstamp
1787055300000,2026-08-18T12:15:00.000Z,76.295,76.31,76.165,76.213,1143.37918,bitstamp
1787056200000,2026-08-18T12:30:00.000Z,76.218,76.248,76.168,76.186,1110.54534,bitstamp
1787057100000,2026-08-18T12:45:00.000Z,76.182,76.313,76.168,76.173,1741.28305,bitstamp
1787058000000,2026-08-18T13:00:00.000Z,76.156,76.156,76.066,76.076,1067.2665,bitstamp
1787058900000,2026-08-18T13:15:00.000Z,76.074,76.101,76.014,76.017,1857.1397,bitstamp
1787059800000,2026-08-18T13:30:00.000Z,76.024,76.209,75.97,76.075,2636.27718,bitstamp
1787060700000,2026-08-18T13:45:00.000Z,76.054,76.165,75.979,76.136,1997.56635,bitstamp
1787061600000,2026-08-18T14:00:00.000Z,76.134,76.278,76.048,76.109,2047.02272,bitstamp
1787062500000,2026-08-18T14:15:00.000Z,76.11,77,76.11,76.931,6694.94417,bitstamp
1787063400000,2026-08-18T14:30:00.000Z,76.937,77.253,76.712,76.746,6453.3061,bitstamp
1787064300000,2026-08-18T14:45:00.000Z,76.734,76.909,76.706,76.735,6786.84008,bitstamp
1787065200000,2026-08-18T15:00:00.000Z,76.742,76.976,76.732,76.863,2616.87018,bitstamp
